time,scenario,phase,info,cas_shrinkTF,cas_sqzCount,h4_stage,h4_diffBBW,h4_mid,h4_bbupdn,trade_event,h4_sqz,h4_fly,h4_shrink
02.06 12:00,E4,PH_3B_INTO,E4 — HTF compressing,5,3,513,-28.37,1,2,,False,False,True
02.06 16:00,E4,PH_1,E4 — HTF compressing,5,0,513,-2.4,1,0,,False,False,True
02.06 20:00,A1,PH_2,A1 — H4+D1 fly aligned,5,0,512,4.33,1,3,,False,True,False
02.09 04:00,B3,PH_2,B3 — H1-SQZ onset,5,1,512,8.01,1,0,,False,True,False
02.09 08:00,E1,PH_1,E1 — H1-SQZ established,5,1,512,20.32,1,0,,False,True,False
02.09 12:00,E4,PH_3A,E4 — HTF compressing,5,1,512,-27.58,3,0,,False,True,False
02.09 16:00,E4,PH_3B_INTO,E4 — HTF compressing,5,2,523,-33.72,2,2,,False,False,True
02.09 20:00,E4,PH_2,E4 — HTF compressing,5,1,523,4.11,3,0,,False,False,True
02.10 04:00,F2,PH_5,F2 — MTF confirmed expansion,-1,1,511,22.19,1,1,,False,True,False
02.10 08:00,B2,PH_1,B2 — M30 shrink + 1 SQZ,1,1,511,18.98,1,1,,False,True,False
02.10 12:00,B3,PH_1,B3 — H1 shrink + 1 SQZ,3,1,511,13.12,1,0,,False,True,False
02.10 14:45,B3,PH_1,B3 — H1-SQZ onset,-1,2,511,13.12,1,0,CLOSE SELL P&L:-166.45,False,True,False
02.10 16:00,B3,PH_1,B3 — H1-SQZ onset,-1,1,512,14.5,1,3,,False,True,False
02.10 20:00,E1,PH_3B_INTO,E1 — H1-SQZ established,2,1,512,-15.97,1,3,,False,True,False
02.11 04:00,E4,PH_3B_INTO,E4 — HTF compressing,-1,1,512,-44.86,1,3,,False,True,False
02.11 08:00,E4,PH_3B_INTO,E4 — HTF compressing,2,1,512,-176.08,1,0,,False,True,False
02.11 12:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,513,-91.46,1,2,,False,False,True
02.11 16:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,513,-83.02,1,2,,False,False,True
02.11 20:00,E4,PH_3B_INTO,E4 — HTF compressing,4,2,513,-63.27,1,2,,False,False,True
02.12 04:00,E4,PH_3B_INTO,E4 — HTF compressing,4,1,513,-52.23,1,2,,False,False,True
02.12 08:00,E4,PH_1,E4 — HTF compressing,4,2,513,-4.51,1,0,,False,False,True
02.12 12:00,E1,PH_3B_INTO,E1 — H1-SQZ established,-1,1,512,-10.54,1,3,,False,True,False
02.12 16:00,E1,PH_1,E1 — H1-SQZ established,-1,1,512,-1.43,1,0,,False,True,False
02.12 20:00,A2,PH_5,"A2 — H4 fly, D1 not aligned",-1,0,512,63.06,3,1,,False,True,False
02.13 03:15,A2,PH_2,"A2 — H4 fly, D1 not aligned",5,0,521,66.39,2,1,OPEN SELL,False,True,False
02.13 04:00,B2,PH_1,B2 early — M30 shrink,5,0,521,10.16,2,0,,False,True,False
02.13 08:00,A2,PH_1,"A2 — H4 fly, D1 not aligned",5,0,521,31.93,2,0,,False,True,False
02.13 12:00,B3,PH_1,B3 — H1 shrink,5,0,521,14.5,2,1,,False,True,False
02.13 16:00,B3,PH_1,B3 — H1-SQZ onset,5,1,521,5.22,2,0,CLOSE SELL P&L:-21.11,False,True,False
02.13 16:00,B3,PH_1,B3 — H1-SQZ onset,5,1,521,5.22,2,0,,False,True,False
02.13 20:00,E1,PH_3A,E1 — H1-SQZ established,5,1,521,-0.88,3,4,,False,True,False
02.16 04:00,E1,PH_2,"E1 — H1-SQZ recovery, compression persists",5,0,521,0.11,3,0,,False,True,False
02.16 08:00,B3,PH_2,B3 — H1 shrink,5,0,522,2.5,2,4,,False,True,False
02.16 12:00,E2,PH_1,E2 — M15+M30 both SQZ,5,2,522,-3.31,4,4,,False,True,False
02.16 16:00,B3,PH_3B_INTO,B3 — H1-SQZ onset,5,2,522,-6.02,2,4,,False,True,False
02.16 20:00,E1,PH_3B_INTO,E1 — H1-SQZ established,5,1,522,-11.92,2,4,,False,True,False
02.17 04:00,A2,PH_3B_INTO,default — conservative,5,0,522,-19.45,2,4,,False,True,False
02.17 08:00,A2,PH_2,"A2 — H4 fly, D1 not aligned",5,0,522,19.23,2,4,,False,True,False
02.17 12:00,B2,PH_3B_INTO,B2 early — M30 shrink,5,0,522,-12.25,2,4,,False,True,False
02.17 16:00,A2,PH_6,"A2 — H4 fly, D1 not aligned",5,0,522,14.06,2,4,,False,True,False
02.17 20:00,B1,PH_2,B1 — M15 shrink,5,0,522,1.28,2,4,,False,True,False
02.18 04:00,B3,PH_1,B3 — H1 shrink + 1 SQZ,5,1,521,15.59,2,1,,False,True,False
02.18 08:00,A2,PH_1,"A2 — H4 fly, D1 not aligned",5,0,521,0.63,3,0,,False,True,False
02.18 12:00,B2,PH_1,B2 early — M30 shrink,5,0,521,4.65,3,4,,False,True,False
02.18 16:00,A2,PH_3A,"A2 — H4 fly, D1 not aligned",5,0,521,-0.78,3,4,,False,True,False
02.18 20:00,B1,PH_2,B1 — M15 shrink,5,0,521,7.14,4,0,,False,True,False
02.19 04:00,E4,PH_6,E4 — HTF compressing,5,1,523,-23.71,2,2,,False,False,True
02.19 08:00,E4,PH_3B_INTO,E4 — HTF compressing,5,1,523,-15.33,4,2,,False,False,True
02.19 12:00,E4,PH_3A,E4 — HTF compressing,5,0,523,-1.03,3,2,,False,False,True
02.19 16:00,G3,PH_4,G3 — H4 SQZ waiting,5,1,423,-1.83,3,2,,True,False,False
02.19 20:00,G3,PH_4,G3 — H4 SQZ waiting,5,0,423,-7.59,3,2,,True,False,False
02.19 23:15,G3,PH_4,G3 — H4 SQZ waiting,5,1,423,-7.59,3,2,OPEN BUY,True,False,False
02.20 02:00,G2,PH_4,G2 — H2 opposite D1,3,1,423,5.18,3,0,CLOSE BUY P&L:-13.44,True,False,False
02.20 03:15,G2,PH_4,G2 — H2 opposite D1,3,0,423,5.18,3,0,OPEN BUY,True,False,False
02.20 04:00,G2,PH_4,G2 — H2 opposite D1,1,0,423,1.85,3,1,,True,False,False
02.20 05:00,G2,PH_4,G2 — H2 opposite D1,-1,1,423,1.85,3,1,CLOSE BUY P&L:-17.09,True,False,False
02.20 08:00,G2,PH_4,G2 — H2 opposite D1,-1,1,423,15.69,1,1,,True,False,False
02.20 12:00,A1,PH_1,A1 — H4+D1 fly aligned,-1,0,511,14.18,1,0,,False,True,False
02.20 16:00,A1,PH_1,A1 — H4+D1 fly aligned,-1,0,512,14.87,1,3,,False,True,False
02.20 20:00,A1,PH_1,A1 — H4+D1 fly aligned,-1,0,512,26.27,1,3,,False,True,False
02.23 04:00,A1,PH_1,A1 — H4+D1 fly aligned,-1,0,512,47.31,1,3,,False,True,False
02.23 08:00,B2,PH_1,B2 early — M30 shrink,2,0,512,11.76,1,3,,False,True,False
02.23 12:00,B2,PH_1,B2 early — M30 shrink,2,0,512,14.44,1,3,,False,True,False
02.23 16:00,B3,PH_1,B3 — H1 shrink + 1 SQZ,3,1,512,5.47,1,3,,False,True,False
02.23 20:00,A1,PH_1,A1 — H4+D1 fly aligned,-1,0,512,36.82,1,3,,False,True,False
02.24 04:00,A1,PH_1,A1 — H4+D1 fly aligned,-1,0,512,11.03,1,3,,False,True,False
02.24 08:00,B3,PH_1,B3 — H1 shrink,3,0,512,-1.17,1,3,,False,True,False
02.24 12:00,B3,PH_3B_INTO,B3 — H1 shrink + 1 SQZ,3,1,512,-11.07,1,3,,False,True,False
02.24 16:00,A2,PH_3B_INTO,default — conservative,-1,0,512,-17.92,1,3,,False,True,False
02.24 20:00,E4,PH_3B_INTO,E4 — HTF compressing,2,0,512,-25.81,1,3,,False,True,False
02.25 04:00,E4,PH_3B_INTO,E4 — HTF compressing,-1,0,512,-37.96,1,0,,False,True,False
02.25 08:00,E4,PH_3B_INTO,E4 — HTF compressing,1,0,512,-34.36,1,3,,False,True,False
02.25 12:00,E4,PH_3B_INTO,E4 — HTF compressing,4,1,513,-56.23,1,2,,False,False,True
02.25 12:15,E4,PH_3B_INTO,E4 — HTF compressing,4,0,513,-56.23,1,2,OPEN SELL,False,False,True
02.25 16:00,E4,PH_3B_INTO,E4 — HTF compressing,4,1,513,-50.7,1,2,,False,False,True
02.25 20:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,513,-57.89,1,2,,False,False,True
02.26 04:00,E4,PH_3B_INTO,E4 — HTF compressing,5,0,513,-52.69,1,2,CLOSE BUY P&L:6.73,False,False,True
02.26 04:00,E4,PH_3B_INTO,E4 — HTF compressing,5,0,513,-52.69,1,2,,False,False,True
02.26 08:00,E4,PH_3B_INTO,E4 — HTF compressing,5,0,513,-6.2,1,0,,False,False,True
02.26 12:00,E4,PH_2,E4 — HTF compressing,5,0,513,0.73,5,0,,False,False,True
02.26 15:30,E4,PH_2,E4 — HTF compressing,5,1,513,0.73,5,0,OPEN SELL,False,False,True
02.26 16:00,E4,PH_3B_INTO,E4 — HTF compressing,5,1,513,-9.33,5,0,,False,False,True
02.26 20:00,E4,PH_3A,E4 — HTF compressing,5,1,513,-3.56,3,2,,False,False,True
02.26 20:30,E4,PH_3A,E4 — HTF compressing,5,1,513,-3.56,3,2,CLOSE SELL P&L:-1.9300000000000002,False,False,True
02.27 02:45,E4,PH_2,E4 — HTF compressing,5,1,513,0.97,3,3,OPEN BUY,False,False,True
02.27 04:00,E4,PH_3B_INTO,E4 — HTF compressing,5,0,513,-17.11,5,0,,False,False,True
02.27 05:15,E4,PH_3B_INTO,E4 — HTF compressing,5,1,513,-17.11,5,0,CLOSE BUY P&L:7.22,False,False,True
02.27 08:00,E4,PH_2,E4 — HTF compressing,5,0,513,0.3,3,0,,False,False,True
02.27 12:00,G3,PH_3A,G3 — H4 SQZ waiting,5,0,513,-0.02,3,0,,False,False,True
02.27 16:00,B3,PH_5,B3 — H1-SQZ onset,5,1,511,22.32,1,1,,False,True,False
02.27 20:00,E1,PH_2,"E1 — H1-SQZ recovery, compression persists",5,0,511,14.34,1,0,,False,True,False
04.01 04:00,A2,PH_1,"A2 — H4 fly, D1 not aligned",-1,0,511,37.85,1,0,,False,True,False
04.01 08:00,B2,PH_3B_INTO,B2 early — M30 shrink,2,0,512,-6.06,1,3,,False,True,False
04.01 12:00,A2,PH_2,"A2 — H4 fly, D1 not aligned",-1,0,512,21.97,1,3,,False,True,False
04.01 16:00,B3,PH_2,B3 — H1 shrink,3,0,512,19.48,1,3,,False,True,False
04.01 20:00,A2,PH_1,"A2 — H4 fly, D1 not aligned",-1,0,512,25.69,1,3,,False,True,False
04.02 04:00,A2,PH_1,"A2 — mid-TF SQZ, M15+M5 flying, D1 not aligned",5,1,512,30.89,1,3,,False,True,False
04.02 08:00,E4,PH_3B_INTO,E4 — HTF compressing,5,0,512,-53.09,1,0,,False,True,False
04.02 12:00,E4,PH_3B_INTO,E4 — HTF compressing,5,0,513,-59.96,1,2,,False,False,True
04.02 15:15,E4,PH_3B_INTO,E4 — HTF compressing,5,0,513,-59.96,1,2,CLOSE BUY P&L:67.25,False,False,True
04.02 15:15,E4,PH_3B_INTO,E4 — HTF compressing,5,0,513,-59.96,1,2,OPEN SELL,False,False,True
04.02 16:00,E4,PH_3B_INTO,E4 — HTF compressing,5,0,513,-29.68,1,2,,False,False,True
04.02 20:00,E4,PH_3B_INTO,E4 — HTF compressing,5,0,513,-22.3,1,0,,False,False,True
04.06 04:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,513,-51.25,1,2,,False,False,True
