time,scenario,phase,info,cas_shrinkTF,cas_sqzCount,h4_stage,h4_diffBBW,h4_mid,h4_bbupdn,trade_event,h4_sqz,h4_fly,h4_shrink
04.17 11:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,513,-18.55,1,2,CLOSE BUY P&L:-18.58,False,False,True
04.17 11:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,513,-18.55,1,2,OPEN SELL,False,False,True
04.17 12:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,513,-12.17,5,2,,False,False,True
04.17 14:00,E4,PH_3B_INTO,E4 — HTF compressing,4,2,513,-12.17,5,2,CLOSE SELL P&L:-4.38,False,False,True
04.17 16:00,E4,PH_2,E4 — HTF compressing,4,0,513,5.2,1,0,,False,False,True
04.17 20:00,E4,PH_2,E4 — HTF compressing,4,0,513,10.66,1,0,,False,False,True
04.20 04:00,E4,PH_1,E4 — HTF compressing,4,0,513,11.7,3,0,,False,False,True
04.20 08:00,E4,PH_1,E4 — HTF compressing,4,1,513,-3.23,2,4,,False,False,True
04.20 12:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,523,-10.91,2,0,,False,False,True
04.20 16:00,E4,PH_3A,E4 — HTF compressing,4,0,523,-0.96,3,0,,False,False,True
04.20 20:00,G3,PH_4,G3 — H4 SQZ waiting,3,1,423,-0.14,3,0,,True,False,False
04.21 04:00,G3,PH_4,G3 — H4 SQZ waiting,-1,0,423,1.1400000000000001,5,3,,True,False,False
04.21 08:00,G3,PH_4,G3 — H4 SQZ waiting,-1,1,423,3.09,5,0,,True,False,False
04.21 12:00,G3,PH_4,G3 — H4 SQZ waiting,1,0,423,0.97,4,4,,True,False,False
04.21 16:00,G3,PH_4,G3 — H4 SQZ waiting,2,0,423,2.7199999999999998,2,4,,True,False,False
04.21 20:00,A2,PH_1,"A2 — H4 fly, D1 not aligned",-1,0,521,55.59,2,1,,False,True,False
04.22 04:00,B2,PH_1,B2 early — M30 shrink,2,0,521,15.09,2,1,,False,True,False
04.22 08:00,B3,PH_1,B3 — H1 shrink,3,0,521,6.61,4,0,,False,True,False
04.22 12:00,B3,PH_1,B3 — H1 shrink,3,0,522,5.25,4,4,,False,True,False
04.22 16:00,B3,PH_1,B3 — H1-SQZ onset,-1,1,522,8.57,2,4,,False,True,False
04.22 20:00,E1,PH_1,E1 — H1-SQZ established,-1,1,522,9.59,2,4,,False,True,False
04.23 04:00,E4,PH_3B_INTO,E4 — HTF compressing,2,0,522,-33.08,2,0,,False,True,False
04.23 08:00,A2,PH_2,"A2 — H4 fly, D1 not aligned",-1,0,522,22.38,2,0,,False,True,False
04.23 12:00,A2,PH_2,"A2 — H4 fly, D1 not aligned",-1,0,522,14.4,2,0,,False,True,False
04.23 16:00,A2,PH_1,"A2 — H4 fly, D1 not aligned",-1,0,522,-3.93,2,4,,False,True,False
04.23 20:00,B3,PH_3B_INTO,B3 — H1 shrink + 1 SQZ,3,1,522,-9.47,2,4,,False,True,False
04.24 04:00,B2,PH_3B_INTO,B2 — M30 shrink + 1 SQZ,2,1,522,-18.6,2,4,,False,True,False
04.24 04:15,B2,PH_3B_INTO,B2 early — M30 shrink,2,0,522,-18.6,2,4,OPEN SELL,False,True,False
04.24 08:00,E4,PH_3B_INTO,E4 — HTF compressing,-1,0,522,-23.48,2,4,,False,True,False
04.24 11:00,E4,PH_3B_INTO,E4 — HTF compressing,-1,0,522,-23.48,2,4,CLOSE SELL P&L:14.77,False,True,False
04.24 12:00,E4,PH_3B_INTO,E4 — HTF compressing,-1,1,522,-28.57,2,0,,False,True,False
04.24 16:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,523,-21.62,2,2,,False,False,True
04.24 20:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,523,-29.08,2,2,,False,False,True
04.27 04:00,E4,PH_3A,E4 — HTF compressing,4,0,523,-0.6,3,0,,False,False,True
04.27 08:00,E4,PH_3A,E4 — HTF compressing,4,1,523,-1.17,3,0,,False,False,True
04.27 12:00,E4,PH_3B_INTO,E4 — HTF compressing,4,2,523,-10.1,2,0,,False,False,True
04.27 16:00,E4,PH_3B_INTO,E4 — HTF compressing,4,3,523,-22.31,2,2,,False,False,True
04.27 20:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,523,-8.5,2,0,,False,False,True
04.28 04:00,E4,PH_3B_INTO,E4 — HTF compressing,4,1,523,-14.17,2,2,,False,False,True
04.28 08:00,B3,PH_2,B3 — H1-SQZ onset,-1,1,522,7.55,2,4,,False,True,False
04.28 12:00,A2,PH_2,"A2 — H4 fly, D1 not aligned",-1,0,521,34.96,2,1,,False,True,False
04.28 16:00,A2,PH_1,"A2 — H4 fly, D1 not aligned",-1,0,521,56.12,2,1,,False,True,False
04.28 20:00,A2,PH_1,"A2 — H4 fly, D1 not aligned",1,0,521,37.61,2,1,,False,True,False
04.29 04:00,B3,PH_1,B3 — H1 shrink + 1 SQZ,3,1,522,19.22,2,4,,False,True,False
04.29 08:00,B3,PH_1,B3 — H1 shrink,3,0,522,11.61,2,0,,False,True,False
04.29 09:30,B3,PH_1,B3 — H1 shrink + 1 SQZ,3,1,522,11.61,2,0,OPEN SELL,False,True,False
04.29 12:00,B3,PH_1,B3 — H1-SQZ onset,-1,1,522,27.94,2,0,,False,True,False
04.29 16:00,A2,PH_1,"A2 — H4 fly, D1 not aligned",-1,0,521,40.27,2,1,,False,True,False
04.29 20:00,B2,PH_1,B2 early — M30 shrink,2,0,521,25.71,2,0,,False,True,False
