datetime,category,BBTFImpact-Sideway_val/ATRSL1buf-Trend/ORDERINFO-BUY_PROFIT/TF-diffMid_Trend/TRADEINFO0-Gate/TRADEINFO1-Gate/TRADEINFO2-Gate/NEW_ORDER_OPEN-TradeAct/TRADEINFO3-Gate/TRADEINFO4-Gate/NEW_ORDER_CLOSE-TradeAct/TRADEINFO5-Gate,BBTFImpact-HTF_Drive_LTF_Sideway/ATRSL1buf-LV/ORDERINFO-BUY_LOTS/TF-BBUpDn/TRADEINFO0-TradeAct/TRADEINFO1-M30dn+M15up|act/TRADEINFO2-|act/NEW_ORDER_OPEN-OPEN_TICKET/TRADEINFO3-M5/TRADEINFO4-M5/NEW_ORDER_CLOSE-OPEN_TICKET/TRADEINFO5-M5,BBTFImpact-LTF_Drive_HTF_Fly/ATRSL1buf-Upper/ORDERINFO-BUY_TICKET_NUM/TF-trend/TRADEINFO0-Trade_act/TRADEINFO1-atrsl/TRADEINFO2-atrsl/NEW_ORDER_OPEN-OPEN_TYPE/TRADEINFO3-atrsl/TRADEINFO4-atrsl/NEW_ORDER_CLOSE-OPEN_Type/TRADEINFO5-atrsl,BBTFImpact-midline_Cluster/ATRSL1buf-Lower/ORDERINFO-BUYS/TF-diffMid/TRADEINFO0-pen/NEW_ORDER_OPEN-OPEN_LOTS/NEW_ORDER_CLOSE-OPEN_LOTS,BBTFImpact-line_seq_touch/ATRSL1buf-SLMid/ORDERINFO-SELL_PROFIT/TF-diffBBW/NEW_ORDER_OPEN-DEAL_PRICE/NEW_ORDER_CLOSE-OPEN_PRICE,BBTFImpact-line_seq_cross/ATRSL1buf-Val/ORDERINFO-SELL_LOTS/TF-WLV/NEW_ORDER_OPEN-FREEMARGIN/NEW_ORDER_CLOSE-OPEN_TIME,BBTFImpact-untouch_val/ORDERINFO-SELL_TICKET_NUM/TF-MidLV/NEW_ORDER_OPEN-MARGINREQUIRED/NEW_ORDER_CLOSE-CLOSED_TICKET,ORDERINFO-SELLS/TF-UppLV/NEW_ORDER_CLOSE-CLOSED_TYPE,ORDERINFO-TOTALORDERS/TF-LowLV/NEW_ORDER_CLOSE-CLOSED_LOT,TF-close/NEW_ORDER_CLOSE-CLOSED_PRICE,TF-high/NEW_ORDER_CLOSE-PROFIT,TF-low/NEW_ORDER_CLOSE-SWAP,NEW_ORDER_CLOSE-COMMISION,NEW_ORDER_CLOSE-FEE,NEW_ORDER_CLOSE-TOTAL_PROFIT,NEW_ORDER_CLOSE-TOTAL_SWAP,NEW_ORDER_CLOSE-LAST_PROFIT
~,ATRSL1buf,2.0,4442.18,4450.01,4442.18,4445.75,2.48,,,,,,,,,,,
~,ORDERINFO,2.05,0.01,6,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.06 01:00,M15,3.0,0.0,8.0,0.57,-1.5699999999999998,0.2,4444.14,4448.54,4439.75,4448.8,4448.8,4448.8,,,,,
~,M30,1.0,3.0,1.0,1.56,-3.33,1.19,4437.26,4463.76,4410.76,,,,,,,,
~,H1,1.0,3.0,1.0,2.49,-5.76,1.3599999999999999,4429.21,4459.43,4398.99,,,,,,,,
~,H4,1.0,1.0,1.0,3.7800000000000002,34.5,4.05,4370.44,4458.92,4281.97,,,,,,,,
~,D1,1.0,3.0,0.0,11.17,-7.63,8.33,4347.77,4528.82,4166.72,,,,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M5=1|M15=1|M30=1},{H1=1|H4=1|D1=1},{},{M5=0-9|M15=0-6|M30=0-9|H1=0-9|H4=9-19|D1=0-8|W1=0-0},{M5=0-30|M15=0-40|M30=0-30|H1=0-30|H4=30-40|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4445.03,4450.01,4445.03,4449.14,2.06,,,,,,,,,,,
~,ORDERINFO,4.54,0.01,6,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.06 01:15,M15,5.0,1.0,8.0,0.29,3.41,0.3,4444.72,4451.45,4437.98,4451.67,4451.67,4451.67,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,1,,,,,,,,,,,,,,
~,BBTFImpact,{},{M5=1|M15=1|M30=1},{M15=1|M30=1|H1=1|H4=1|D1=1},{},{M5=9-9|M15=0-6|M30=0-9|H1=0-9|H4=0-9|D1=0-8|W1=0-0},{M5=30-40|M15=0-40|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-29|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,4457.68,4457.68,4446.66,4452.17,2.76,,,,,,,,,,,
~,ORDERINFO,7.41,0.01,6,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.06 01:30,M15,5.0,0.0,8.0,0.32,0.91,0.31,4445.01,4451.85,4438.18,4449.15,4449.15,4449.15,,,,,
~,M30,1.0,0.0,1.0,1.88,-10.81,1.11,4439.42,4464.11,4414.72,,,,,,,,
~,TRADEINFO0,G6-SHRINK,,0+M5,0.9|,,,,,,,,,,,,,
~,TRADEINFO1,G5,,,,,,,,,,,,,,,,
~,TRADEINFO2,G5-NONE,0,1,,,,,,,,,,,,,,
~,BBTFImpact,{},{M15=1|M30=1},{M30=1|H1=1|H4=1|D1=1},{},{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-9|D1=0-8|W1=0-0},{M5=0-30|M15=0-30|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,4454.86,4454.86,4446.66,4448.89,2.99,,,,,,,,,,,
~,ORDERINFO,4.89,0.01,6,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.06 01:45,M15,5.0,0.0,8.0,0.04,-0.19,0.29,4444.82,4451.35,4438.29,4443.09,4443.09,4443.09,,,,,
~,TRADEINFO0,G6-SHRINK,,0+M5,0.9|,,,,,,,,,,,,,
~,TRADEINFO1,G5,,,,,,,,,,,,,,,,
~,TRADEINFO2,G5-WEAK,0,1,,,,,,,,,,,,,,
~,BBTFImpact,{},{M15=1|M30=1},{M30=1|H1=1|H4=1|D1=1},{},{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-9|D1=0-8|W1=0-0},{M5=0-20|M15=0-20|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=27-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,4448.54,4448.54,4435.84,4443.0,3.99,,,,,,,,,,,
~,ORDERINFO,-1.17,0.01,6,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.06 02:00,M15,5.0,0.0,8.0,-0.22,0.95,0.31,4444.47,4451.44,4437.49,4440.64,4440.64,4440.64,,,,,
~,M30,1.0,2.0,1.0,1.63,-20.69,0.89,4440.78,4460.57,4420.98,,,,,,,,
~,H1,1.0,3.0,1.0,1.69,-6.44,1.3,4430.88,4459.63,4402.14,,,,,,,,
~,TRADEINFO0,G6-SHRINK,,1,0.75|,,,,,,,,,,,,,
~,TRADEINFO1,G5,,,,,,,,,,,,,,,,
~,TRADEINFO2,G5-NONE,0,1,,,,,,,,,,,,,,
~,BBTFImpact,{},{M15=1|M30=1},{M15=1|M30=1|H4=1|D1=1},{},{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-9|D1=0-8|W1=0-0},{M5=0-20|M15=0-20|M30=20-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=27-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,4447.73,4447.73,4435.84,4440.64,4.43,,,,,,,,,,,
~,ORDERINFO,-3.62,0.01,6,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.06 02:15,M15,4.0,1.0,8.0,-0.19,0.91,0.33,4444.2,4451.57,4436.84,4440.4,4440.4,4440.4,,,,,
~,TRADEINFO0,G6-SHRINK,,1,0.75|,,,,,,,,,,,,,
~,TRADEINFO1,G5,,,,,,,,,,,,,,,,
~,TRADEINFO2,G5-NONE,,,,,,,,,,,,,,,,
~,TRADEINFO3,G6-REV,2|act:7,1,,,,,,,,,,,,,,
~,NEW_ORDER_CLOSE,[],6,BUY,0.01,4443.71,2026.01.05 20:45:02,7,SELL,0.01,4440.55,-3.16,-0.55,0.0,0.0,53.78,-0.55,56.94
~,BBTFImpact,{},{M15=1|M30=1},{M15=1|M30=1|H4=1|D1=1},{},{M5=0-9|M15=0-9|M30=7-9|H1=0-9|H4=0-9|D1=0-8|W1=0-0},{M5=0-20|M15=0-20|M30=0-20|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,4447.73,4447.73,4435.84,4440.45,4.43,,,,,,,,,,,
~,ORDERINFO,-3.86,0.01,6,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.06 02:30,M15,4.0,0.0,8.0,-0.13,0.64,0.34,4444.1,4451.56,4436.63,4440.74,4440.74,4440.74,,,,,
~,M30,1.0,2.0,1.0,1.7,-33.9,0.55,4442.42,4454.7,4430.14,,,,,,,,
~,TRADEINFO0,G0d-COOL,,1,,,,,,,,,,,,,,
~,BBTFImpact,{},{M15=1|M30=1},{M15=1|M30=1|H4=1|D1=1},{},{M5=0-9|M15=0-9|M30=7-8|H1=0-9|H4=0-9|D1=0-8|W1=0-0},{M5=0-20|M15=0-20|M30=20-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,4447.73,4447.73,4435.84,4440.96,3.82,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.06 02:45,M15,4.0,1.0,8.0,-0.44,2.63,0.38,4443.5,4451.95,4435.05,4436.62,4436.62,4436.62,,,,,
~,TRADEINFO0,G0d-COOL,,1,,,,,,,,,,,,,,
~,BBTFImpact,{},{M15=1|M30=1},{M15=1|M30=1|H4=1|D1=1},{},{M5=0-9|M15=6-9|M30=0-7|H1=0-9|H4=0-9|D1=0-8|W1=0-0},{M5=0-20|M15=20-10|M30=0-20|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,4441.81,4441.81,4428.55,4436.04,3.75,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.06 03:00,M15,4.0,1.0,8.0,-0.28,2.29,0.4,4443.21,4452.2,4434.22,4436.65,4436.65,4436.65,,,,,
~,M30,1.0,2.0,1.0,0.66,-13.73,0.42,4442.92,4452.31,4433.52,,,,,,,,
~,H1,1.0,2.0,1.0,1.6800000000000002,-13.36,1.16,4432.41,4458.02,4406.8,,,,,,,,
~,TRADEINFO0,G0d-COOL,,1,,,,,,,,,,,,,,
~,BBTFImpact,{},{M15=1|M30=1},{M30=1|D1=1},{},{M5=0-9|M15=0-6|M30=0-7|H1=0-9|H4=0-9|D1=0-8|W1=0-0},{M5=0-20|M15=0-20|M30=0-20|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,4441.81,4441.81,4429.46,4436.58,3.56,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.06 03:15,M15,3.0,0.0,8.0,0.07,-0.28,0.41,4443.21,4452.36,4434.05,4441.81,4441.81,4441.81,,,,,
~,TRADEINFO0,G0d-COOL,,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M15=1|M30=1},{M30=1|D1=1},{},{M5=8-9|M15=0-6|M30=0-7|H1=0-9|H4=0-9|D1=0-8|W1=0-0},{M5=30-20|M15=0-20|M30=0-20|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4433.06,4450.56,4433.06,4441.81,4.38,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.06 03:30,M15,4.0,1.0,8.0,-0.44,3.01,0.45,4442.64,4452.62,4432.66,4434.99,4434.99,4434.99,,,,,
~,M30,3.0,2.0,1.0,0.22,-4.59,0.38,4443.11,4451.55,4434.68,,,,,,,,
~,TRADEINFO0,G0d-COOL,,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M15=1|M30=1},{M30=1|D1=1},{},{M5=0-7|M15=0-6|M30=0-7|H1=0-9|H4=0-9|D1=0-8|W1=0-0},{M5=0-20|M15=0-20|M30=0-20|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4433.06,4444.06,4433.06,4434.39,4.84,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.06 03:45,M15,4.0,0.0,8.0,-0.11,0.52,0.44,4442.69,4452.37,4433.01,4439.27,4439.27,4439.27,,,,,
~,TRADEINFO0,G0-HOLD,,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M15=1|M30=1},{M30=1|D1=1},{},{M5=0-8|M15=0-6|M30=0-7|H1=0-9|H4=0-9|D1=0-8|W1=0-0},{M5=0-30|M15=0-20|M30=0-20|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4433.06,4444.06,4433.06,4439.58,4.87,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.06 04:00,M15,4.0,0.0,8.0,0.43,2.61,0.46,4443.42,4453.61,4433.24,4450.67,4450.67,4450.67,,,,,
~,M30,3.0,0.0,1.0,0.24,2.7199999999999998,0.37,4443.74,4451.86,4435.62,,,,,,,,
~,H1,1.0,0.0,1.0,2.16,-6.67,1.1,4434.75,4459.06,4410.44,,,,,,,,
~,H4,1.0,1.0,1.0,4.72,29.36,4.3,4374.92,4469.07,4280.77,,,,,,,,
~,TRADEINFO0,G0-HOLD,,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M15=1|M30=1},{M15=1|M30=1|D1=1},{},{M5=0-8|M15=0-6|M30=0-8|H1=0-9|H4=0-9|D1=0-8|W1=0-0},{M5=0-40|M15=0-30|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4440.95,4458.1,4440.95,4451.78,5.42,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.06 04:15,M15,4.0,1.0,8.0,0.72,8.9,0.58,4444.32,4457.12,4431.52,4459.36,4459.36,4459.36,,,,,
~,TRADEINFO0,G0-HOLD,,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M15=1|M30=1},{M15=1|M30=1|D1=1},{},{M5=0-8|M15=0-9|M30=0-8|H1=0-9|H4=9-9|D1=0-8|W1=0-0},{M5=0-40|M15=0-40|M30=0-40|H1=40-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4449.85,4469.49,4449.85,4459.67,4.91,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.06 04:30,M15,1.0,1.0,1.0,0.92,7.73,0.65,4445.21,4459.57,4430.85,4460.15,4460.15,4460.15,,,,,
~,M30,1.0,1.0,1.0,0.88,11.14,0.51,4444.81,4456.21,4433.41,,,,,,,,
~,TRADEINFO0,G6-SHRINK,,1,0.75|,,,,,,,,,,,,,
~,TRADEINFO1,G5,,,,,,,,,,,,,,,,
~,TRADEINFO2,G5-NONE,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M15=1|M30=1},{M15=1|M30=1|H1=1|D1=1},{},{M5=0-9|M15=0-9|M30=0-8|H1=0-9|H4=0-9|D1=0-8|W1=0-0},{M5=0-30|M15=0-40|M30=0-40|H1=0-40|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4451.69,4467.53,4451.69,4460.27,4.29,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.06 04:45,M15,1.0,0.0,1.0,0.58,1.99,0.62,4445.52,4459.36,4431.67,4453.65,4453.65,4453.65,,,,,
~,TRADEINFO0,G6-SHRINK,,1,0.75|,,,,,,,,,,,,,
~,TRADEINFO1,G5,,,,,,,,,,,,,,,,
~,TRADEINFO2,G5-NONE,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M30=1},{M15=1|M30=1|H1=1|D1=1},{},{M5=0-9|M15=0-9|M30=9-8|H1=0-9|H4=0-9|D1=0-8|W1=0-0},{M5=0-30|M15=0-30|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-29|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4451.69,4461.56,4451.69,4452.91,4.51,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.06 05:00,M15,5.0,0.0,1.0,0.42,2.63,0.66,4445.99,4460.56,4431.42,4454.91,4454.91,4454.91,,,,,
~,M30,1.0,1.0,1.0,0.5,4.43,0.5,4445.04,4456.13,4433.95,,,,,,,,
~,H1,1.0,3.0,1.0,1.81,1.41,1.1400000000000001,4436.75,4461.95,4411.55,,,,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M30=1},{M15=1|M30=1|H1=1|D1=1},{},{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-9|D1=0-8|W1=0-0},{M5=0-30|M15=0-30|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-29|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4451.69,4461.56,4451.69,4454.96,4.11,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.06 05:15,M15,1.0,1.0,1.0,0.86,7.01,0.76,4447.1,4463.97,4430.22,4462.58,4462.58,4462.58,,,,,
~,TRADEINFO0,G0b-TOUCH,,0,,,,,,,,,,,,,,
~,NEW_ORDER_OPEN,[],8,BUY,0.01,4462.69,10053.23,100.0,,,,,,,,,,
~,BBTFImpact,{},{M30=1},{M30=1|H1=1|D1=1},{},{M5=0-9|M15=9-9|M30=0-9|H1=0-9|H4=0-9|D1=0-8|W1=0-0},{M5=0-30|M15=0-30|M30=0-40|H1=40-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4455.32,4470.65,4455.32,4462.98,3.83,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.06 05:30,M15,1.0,1.0,1.0,0.83,6.35,0.84,4448.06,4466.84,4429.28,4463.71,4463.71,4463.71,,,,,
~,M30,1.0,1.0,1.0,0.81,10.44,0.66,4446.16,4460.91,4431.41,,,,,,,,
~,TRADEINFO0,G0b-TOUCH,,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M30=1},{M30=1|H1=1|D1=1},{},{M5=9-9|M15=9-9|M30=0-9|H1=0-9|H4=19-9|D1=0-8|W1=0-0},{M5=30-40|M15=30-40|M30=0-40|H1=0-40|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=19-29|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4459.7,4470.65,4459.7,4463.87,4.26,,,,,,,,,,,
~,ORDERINFO,1.02,0.01,8,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.06 05:45,M15,1.0,1.0,1.0,0.95,6.9399999999999995,0.93,4449.1,4469.74,4428.46,4466.27,4466.27,4466.27,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M30=1},{M15=1|M30=1|H1=1|D1=1},{},{M5=0-9|M15=9-9|M30=0-9|H1=0-9|H4=0-19|D1=0-8|W1=0-0},{M5=0-30|M15=30-40|M30=0-40|H1=0-40|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4459.7,4470.65,4459.7,4466.21,3.79,,,,,,,,,,,
~,ORDERINFO,3.58,0.01,8,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.06 06:00,M15,1.0,1.0,1.0,0.66,6.41,0.99,4449.77,4471.87,4427.67,4467.71,4467.71,4467.71,,,,,
~,M30,1.0,1.0,1.0,1.34,10.58,0.79,4447.6,4465.22,4429.99,,,,,,,,
~,H1,1.0,3.0,1.0,2.33,9.22,1.27,4439.38,4467.65,4411.12,,,,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M30=1},{M15=1|M30=1|H1=1|H4=1|D1=1},{},{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=19-19|D1=0-8|W1=0-0},{M5=0-30|M15=0-30|M30=0-40|H1=0-40|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=19-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4460.72,4470.65,4460.72,4467.49,3.39,,,,,,,,,,,
~,ORDERINFO,5.02,0.01,8,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.06 06:15,M15,1.0,1.0,1.0,0.73,4.86,1.04,4450.45,4473.48,4427.42,4465.71,4465.71,4465.71,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M30=1},{M15=1|M30=1|H1=1|H4=1|D1=1},{},{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-19|D1=0-8|W1=0-0},{M5=0-30|M15=0-30|M30=0-40|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=29-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4460.72,4470.65,4460.72,4465.82,3.15,,,,,,,,,,,
~,ORDERINFO,3.02,0.01,8,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.06 06:30,M15,1.0,0.0,1.0,1.01,2.9699999999999998,1.06,4451.45,4475.1,4427.79,4464.91,4464.91,4464.91,,,,,
~,M30,1.0,1.0,1.0,1.11,6.35,0.84,4448.63,4467.3,4429.97,,,,,,,,
~,TRADEINFO0,G6-SHRINK,,0+M5,0.9|,,,,,,,,,,,,,
~,TRADEINFO1,G5,,,,,,,,,,,,,,,,
~,TRADEINFO2,G5-NONE,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},,{M30=1|H1=1|H4=1|D1=1},{},{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-19|D1=0-8|W1=0-0},{M5=0-30|M15=0-30|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-29|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4460.72,4469.65,4460.72,4464.8,2.43,,,,,,,,,,,
~,ORDERINFO,2.22,0.01,8,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.06 06:45,M15,1.0,3.0,1.0,1.11,-0.31,1.06,4452.52,4476.02,4429.01,4462.76,4462.76,4462.76,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},,{M30=1|H1=1|H4=1|D1=1},{},{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-19|D1=0-8|W1=0-0},{M5=10-30|M15=0-30|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4461.77,4467.23,4461.77,4462.76,2.23,,,,,,,,,,,
~,ORDERINFO,0.07,0.01,8,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.06 07:00,M15,1.0,3.0,1.0,1.41,-0.09,1.07,4454.07,4477.85,4430.3,4467.46,4467.46,4467.46,,,,,
~,M30,1.0,1.0,1.0,1.16,7.0,0.91,4449.81,4470.1,4429.52,,,,,,,,
~,H1,1.0,3.0,1.0,2.04,8.46,1.34,4441.31,4471.04,4411.58,,,,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M5=1},{M30=1|H1=1|H4=1|D1=1},{},{M5=0-6|M15=0-9|M30=9-9|H1=19-9|H4=19-19|D1=0-8|W1=0-0},{M5=0-30|M15=0-30|M30=30-40|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=19-29|H4=19-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4463.05,4471.98,4463.05,4467.54,2.24,,,,,,,,,,,
~,ORDERINFO,4.77,0.01,8,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.06 07:15,M15,1.0,3.0,1.0,1.32,-0.67,1.07,4455.44,4479.18,4431.7,4467.43,4467.43,4467.43,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M5=1},{M30=1|H1=1|H4=1|D1=1},{},{M5=0-9|M15=0-9|M30=0-9|H1=0-19|H4=0-19|D1=0-8|W1=0-0},{M5=0-30|M15=0-30|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4464.61,4471.91,4464.61,4467.44,2.24,,,,,,,,,,,
~,ORDERINFO,4.74,0.01,8,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.06 07:30,M15,1.0,3.0,1.0,1.6099999999999999,-3.27,1.04,4457.12,4480.29,4433.95,4469.78,4469.78,4469.78,,,,,
