datetime,category,BBTFImpact-Sideway_val/ATRSL1buf-Trend/ORDERINFO-BUY_PROFIT/TF-diffMid_Trend/NEW_ORDER_OPEN-TradeAct/NEW_ORDER_CLOSE-TradeAct,BBTFImpact-HTF_Drive_LTF_Sideway/ATRSL1buf-LV/ORDERINFO-BUY_LOTS/TF-BBUpDn/NEW_ORDER_OPEN-OPEN_TICKET/NEW_ORDER_CLOSE-OPEN_TICKET,BBTFImpact-LTF_Drive_HTF_Fly/ATRSL1buf-Upper/ORDERINFO-BUY_TICKET_NUM/TF-trend/NEW_ORDER_OPEN-OPEN_TYPE/NEW_ORDER_CLOSE-OPEN_Type,BBTFImpact-midline_Cluster/ATRSL1buf-Lower/ORDERINFO-BUYS/TF-diffMid/NEW_ORDER_OPEN-OPEN_LOTS/NEW_ORDER_CLOSE-OPEN_LOTS,BBTFImpact-line_seq_touch/ATRSL1buf-SLMid/ORDERINFO-SELL_PROFIT/TF-diffBBW/NEW_ORDER_OPEN-DEAL_PRICE/NEW_ORDER_CLOSE-OPEN_PRICE,BBTFImpact-line_seq_cross/ATRSL1buf-Val/ORDERINFO-SELL_LOTS/TF-WLV/NEW_ORDER_OPEN-FREEMARGIN/NEW_ORDER_CLOSE-OPEN_TIME,BBTFImpact-untouch_val/ORDERINFO-SELL_TICKET_NUM/TF-MidLV/NEW_ORDER_OPEN-MARGINREQUIRED/NEW_ORDER_CLOSE-CLOSED_TICKET,ORDERINFO-SELLS/TF-UppLV/NEW_ORDER_CLOSE-CLOSED_TYPE,ORDERINFO-TOTALORDERS/TF-LowLV/NEW_ORDER_CLOSE-CLOSED_LOT,TF-close/NEW_ORDER_CLOSE-CLOSED_PRICE,TF-high/NEW_ORDER_CLOSE-PROFIT,TF-low/NEW_ORDER_CLOSE-SWAP,NEW_ORDER_CLOSE-COMMISION,NEW_ORDER_CLOSE-FEE,NEW_ORDER_CLOSE-TOTAL_PROFIT,NEW_ORDER_CLOSE-TOTAL_SWAP,NEW_ORDER_CLOSE-LAST_PROFIT
~,ATRSL1buf,2.0,3290.22,3295.66,3290.22,3292.67,1.9300000000000002,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 06:00,M15,1.0,3.0,1.0,1.03,2.25,0.72,3286.39,3298.2,3274.57,3297.26,3297.26,3297.26,,,,,
~,M30,3.0,1.0,2.0,0.17,2.02,1.16,3286.59,3305.61,3267.57,,,,,,,,
~,H1,2.0,4.0,2.0,-1.41,-7.39,2.36,3301.89,3340.83,3262.95,,,,,,,,
~,BBTFImpact,[600.0],{M5=1|M15=1|M30=1|H4=1|D1=1},{M15=1|M30=1|H4=1|D1=1},"[5.91, 0.2, 15.51]",{M5=9-9|M15=9-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-30|M15=0-30|M30=0-30|H1=0-20|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3293.16,3301.57,3293.16,3297.36,2.1,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 06:15,M15,1.0,3.0,1.0,0.8,-0.78,0.7,3287.12,3298.59,3275.65,3294.2,3294.2,3294.2,,,,,
~,BBTFImpact,[605.0],{M15=1|M30=1|H4=1|D1=1},{M30=1|H4=1|D1=1},"[6.23, 0.53, 14.77]",{M5=0-9|M15=0-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-30|M15=0-30|M30=0-30|H1=0-20|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3293.17,3298.3,3293.17,3294.16,2.07,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 06:30,M15,1.0,3.0,1.0,0.89,-1.53,0.7,3288.11,3299.61,3276.61,3295.74,3295.74,3295.74,,,,,
~,M30,3.0,0.0,2.0,-0.02,-0.29,1.15,3286.5,3305.35,3267.66,,,,,,,,
~,BBTFImpact,[605.0],{M5=1|M15=1|M30=1|H4=1|D1=1},{M30=1|H4=1|D1=1},"[6.35, 1.6099999999999999, 13.78]",{M5=0-9|M15=0-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-30|M15=0-30|M30=0-30|H1=0-20|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3293.5,3298.3,3293.5,3295.9,2.19,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 06:45,M15,1.0,3.0,1.0,0.86,-1.35,0.68,3288.95,3300.2,3277.71,3296.37,3296.37,3296.37,,,,,
~,BBTFImpact,[606.0],{M5=1|M15=1|M30=1|H4=1|D1=1},{M30=1|H4=1|D1=1},"[5.76, 2.45, 12.94]",{M5=0-9|M15=0-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-30|M15=0-30|M30=0-30|H1=0-20|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3293.5,3298.3,3293.5,3296.26,2.09,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 07:00,M15,1.0,3.0,1.0,0.8,-4.33,0.64,3289.75,3300.26,3279.23,3295.0,3295.0,3295.0,,,,,
~,M30,3.0,2.0,2.0,-0.21,-2.83,1.12,3286.32,3304.73,3267.9,,,,,,,,
~,H1,2.0,0.0,2.0,-1.7,-11.71,2.24,3300.14,3337.16,3263.11,,,,,,,,
~,BBTFImpact,['00606-S_21'],{M5=1|M15=1|M30=1|H4=1|D1=1},{M30=1|H4=1|D1=1},"[5.14, 3.43, 10.39]",{M5=0-9|M15=0-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-30|M15=0-30|M30=0-30|H1=0-20|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3293.5,3298.3,3293.5,3294.87,1.88,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 07:15,M15,1.0,0.0,1.0,0.74,-6.06,0.58,3290.49,3300.02,3280.96,3294.22,3294.22,3294.22,,,,,
~,BBTFImpact,['00606-S_21'],{M5=1|M15=1|M30=1|H4=1|D1=1},{M30=1|H4=1|D1=1},"[4.6899999999999995, 4.18, 9.64]",{M5=0-9|M15=0-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-20|M15=0-30|M30=0-30|H1=0-20|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3293.5,3297.51,3293.5,3294.14,1.69,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 07:30,M15,1.0,2.0,1.0,0.68,-5.78,0.52,3291.21,3299.84,3282.58,3294.52,3294.52,3294.52,,,,,
~,M30,3.0,2.0,2.0,-0.28,-4.23,1.08,3286.04,3303.77,3268.31,,,,,,,,
~,BBTFImpact,['00616-S_12'],{M5=1|M15=1|M30=1|H4=1|D1=1},{H4=1|D1=1},"[4.37, 5.17, 8.93]",{M5=0-9|M15=0-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-20|M15=0-30|M30=0-30|H1=0-20|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3293.5,3297.51,3293.5,3294.61,1.5,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 07:45,M15,1.0,0.0,1.0,0.67,-3.16,0.5,3291.93,3300.15,3283.71,3296.68,3296.68,3296.68,,,,,
~,BBTFImpact,['00616-S_12'],{M5=1|M15=1|M30=1|H4=1|D1=1},{H4=1|D1=1},"[3.75, 5.89, 8.2]",{M5=0-8|M15=0-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-30|M15=0-30|M30=0-30|H1=0-20|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3294.08,3297.51,3294.08,3296.72,1.45,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 08:00,M15,1.0,3.0,1.0,0.62,-0.6,0.5,3292.58,3300.75,3284.41,3298.2,3298.2,3298.2,,,,,
~,M30,3.0,2.0,2.0,-0.14,-2.68,1.06,3285.98,3303.43,3268.52,,,,,,,,
~,H1,2.0,2.0,2.0,-1.62,-16.36,2.08,3298.57,3332.85,3264.3,,,,,,,,
~,H4,4.0,4.0,2.0,-1.52,4.32,1.94,3316.29,3348.5,3284.09,,,,,,,,
~,BBTFImpact,['41606-S_21'],{M5=1|M15=1|M30=1|H4=1|D1=1},{M30=1|D1=1},"[3.41, 6.6, 6.0]",{M5=0-9|M15=0-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=40-30|M15=0-30|M30=0-30|H1=0-20|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3295.51,3300.7,3295.51,3298.22,1.35,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 08:15,M15,1.0,0.0,1.0,0.58,-4.42,0.45,3293.13,3300.51,3285.76,3296.3,3296.3,3296.3,,,,,
~,BBTFImpact,['41606-S_21'],{M5=1|M15=1|M30=1|H4=1|D1=1},{M30=1|D1=1},"[3.02, 7.16, 5.44]",{M5=0-9|M15=0-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-30|M15=0-30|M30=0-30|H1=0-20|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3295.51,3298.94,3295.51,3296.2,1.37,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 08:30,M15,1.0,2.0,1.0,0.5,-4.43,0.4,3293.63,3300.27,3286.99,3295.88,3295.88,3295.88,,,,,
~,M30,4.0,0.0,2.0,0.32,2.9,1.08,3286.26,3304.08,3268.44,,,,,,,,
~,BBTFImpact,['41616-S_12'],{M5=1|M15=1|M30=1|H4=1|D1=1},{D1=1},"[2.49, 7.37, 4.9399999999999995]",{M5=7-8|M15=0-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=20-30|M15=0-30|M30=0-30|H1=0-20|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3295.51,3298.37,3295.51,3295.81,1.28,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 08:45,M15,5.0,2.0,1.0,0.46,-4.2,0.36,3294.1,3300.06,3288.14,3296.04,3296.04,3296.04,,,,,
~,BBTFImpact,['41656-S_11'],{M5=1|M15=1|M30=1|H4=1|D1=1},{D1=1},"[2.16, 7.84, 4.48]",{M5=0-7|M15=0-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-20|M15=0-30|M30=0-30|H1=0-20|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,3297.86,3297.86,3293.43,3296.01,1.29,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 09:00,M15,1.0,3.0,1.0,0.61,-2.29,0.35,3294.81,3300.61,3289.02,3299.66,3299.66,3299.66,,,,,
~,M30,1.0,0.0,7.0,1.12,2.33,1.12,3287.49,3305.98,3269.01,,,,,,,,
~,H1,2.0,2.0,2.0,-1.6,-21.31,1.87,3296.97,3327.72,3266.23,,,,,,,,
~,BBTFImpact,[41204.0],{M5=1|M15=1|M30=1|H4=1|D1=1},{M15=1|M30=1|D1=1},"[2.1, 7.32, 2.16]",{M5=9-8|M15=0-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=30-40|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-20|W1=0-30},{M5=19-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3297.86,3302.08,3297.86,3300.08,1.52,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 09:15,M15,1.0,3.0,1.0,0.67,1.43,0.38,3295.56,3301.85,3289.26,3302.51,3302.51,3302.51,,,,,
~,BBTFImpact,[41204.0],{M5=1|M15=1|M30=1|H4=1|D1=1},{M15=1|M30=1|D1=1},"[2.31, 8.07, 1.42]",{M5=0-9|M15=0-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-40|M15=0-40|M30=0-30|H1=0-30|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3299.94,3306.25,3299.94,3302.69,1.78,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 09:30,M15,1.0,3.0,1.0,0.72,-2.95,0.35,3296.28,3302.08,3290.47,3302.05,3302.05,3302.05,,,,,
~,M30,1.0,3.0,1.0,1.51,-2.68,1.11,3289.08,3307.32,3270.83,,,,,,,,
~,BBTFImpact,[41204.0],{M15=1|M30=1|H4=1|D1=1},{M15=1|M30=1|D1=1},"[2.45, 7.2, 0.7]",{M5=0-9|M15=9-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-30|M15=30-40|M30=0-30|H1=0-30|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=29-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3299.94,3306.02,3299.94,3302.11,1.96,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 09:45,M15,5.0,3.0,1.0,0.48,-1.9100000000000001,0.34,3296.77,3302.34,3291.21,3300.4,3300.4,3300.4,,,,,
~,BBTFImpact,['41244-S_13'],{M5=1|M15=1|M30=1|H4=1|D1=1},{M15=1|M30=1|D1=1},"[2.52, 7.7, 0.2]",{M5=0-9|M15=0-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-30|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3300.23,3304.73,3300.23,3300.27,2.23,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 10:00,M15,5.0,3.0,1.0,0.23,-0.05,0.33,3296.97,3302.44,3291.5,3299.12,3299.12,3299.12,,,,,
~,M30,1.0,3.0,1.0,1.34,-7.44,1.03,3290.38,3307.31,3273.45,,,,,,,,
~,H1,2.0,2.0,2.0,-1.54,-23.49,1.63,3295.52,3322.42,3268.62,,,,,,,,
~,BBTFImpact,['41244-S_13'],{M5=1|M15=1|M30=1|H4=1|D1=1},{M15=1|M30=1|D1=1},"[2.75, 6.59, 1.45]",{M5=0-9|M15=0-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-20|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,3300.23,3300.23,3294.71,3298.95,2.12,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 10:15,M15,5.0,3.0,1.0,0.33,-0.52,0.33,3297.35,3302.85,3291.86,3300.19,3300.19,3300.19,,,,,
~,BBTFImpact,['41246-S_13'],{M5=1|M15=1|M30=1|H4=1|D1=1},{M30=1|D1=1},"[3.06, 6.98, 1.8399999999999999]",{M5=7-8|M15=0-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=20-30|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3300.23,3304.46,3300.23,3300.3,2.08,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 10:30,M15,5.0,3.0,1.0,0.45,-2.19,0.32,3297.86,3303.13,3292.59,3300.95,3300.95,3300.95,,,,,
~,M30,1.0,0.0,1.0,1.41,-8.99,0.95,3291.89,3307.55,3276.22,,,,,,,,
~,BBTFImpact,['41246-S_13'],{M5=1|M15=1|M30=1|H4=1|D1=1},{M30=1|D1=1},"[3.29, 5.98, 2.34]",{M5=7-8|M15=0-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=20-30|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3300.23,3304.46,3300.23,3301.1,2.2,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 10:45,M15,5.0,3.0,1.0,0.49,2.36,0.35,3298.39,3304.18,3292.61,3304.13,3304.13,3304.13,,,,,
~,BBTFImpact,['41246-S_13'],{M5=1|M15=1|M30=1|H4=1|D1=1},{M30=1|D1=1},"[3.12, 6.51, 2.87]",{M5=9-8|M15=9-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-30|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3300.23,3304.46,3300.23,3304.16,2.2,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 11:00,M15,5.0,0.0,1.0,0.43,2.51,0.4,3298.92,3305.56,3292.28,3304.66,3304.66,3304.66,,,,,
~,M30,1.0,3.0,1.0,1.37,-4.3,0.94,3293.43,3308.88,3277.99,,,,,,,,
~,H1,2.0,2.0,2.0,-1.17,-23.63,1.41,3294.59,3317.79,3271.38,,,,,,,,
~,BBTFImpact,['41244-S_13'],{M15=1|M30=1|H4=1|D1=1},{M15=1|M30=1|D1=1},"[3.08, 5.48, 4.33]",{M5=0-9|M15=9-9|M30=0-8|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-30|M15=30-40|M30=0-30|H1=0-30|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3302.02,3309.61,3302.02,3304.32,2.64,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 11:15,M15,5.0,1.0,1.0,0.6,5.6,0.49,3299.63,3307.65,3291.62,3308.24,3308.24,3308.24,,,,,
~,BBTFImpact,['41244-S_13'],{M15=1|M30=1|H4=1|D1=1},{M15=1|M30=1|D1=1},"[3.17, 6.2, 5.05]",{M5=9-9|M15=0-9|M30=0-9|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=30-40|M15=0-40|M30=0-30|H1=0-30|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3302.94,3309.61,3302.94,3308.38,2.75,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 11:30,M15,1.0,1.0,1.0,0.77,6.15,0.59,3300.54,3310.21,3290.87,3310.85,3310.85,3310.85,,,,,
~,M30,1.0,3.0,1.0,1.62,0.5,0.99,3295.3,3311.63,3278.96,,,,,,,,
~,BBTFImpact,[41200.0],{M15=1|M30=1|H4=1|D1=1},{M15=1|M30=1|D1=1},"[4.09, 5.25, 5.95]",{M5=9-9|M15=0-9|M30=9-9|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=30-40|M15=0-40|M30=30-40|H1=0-30|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3306.71,3317.43,3306.71,3311.12,3.15,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 11:45,M15,1.0,0.0,1.0,0.65,2.91,0.62,3301.21,3311.46,3290.97,3309.31,3309.31,3309.31,,,,,
~,BBTFImpact,[41200.0],{M15=1|M30=1|H4=1|D1=1},{M15=1|M30=1|D1=1},"[5.13, 5.92, 6.63]",{M5=0-9|M15=9-9|M30=0-9|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-30|M15=30-40|M30=0-30|H1=0-30|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=29-29|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3306.71,3315.45,3306.71,3309.16,3.15,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 12:00,M15,1.0,3.0,1.0,0.74,1.43,0.64,3302.0,3312.64,3291.36,3309.92,3309.92,3309.92,,,,,
~,M30,1.0,3.0,1.0,1.54,-3.89,0.96,3296.85,3312.62,3281.09,,,,,,,,
~,H1,4.0,2.0,2.0,-0.57,-12.76,1.31,3294.26,3315.87,3272.66,,,,,,,,
~,H4,4.0,4.0,2.0,-1.3599999999999999,-7.79,1.83,3315.27,3345.54,3284.99,,,,,,,,
~,BBTFImpact,[45200.0],{M15=1|M30=1|H4=1|D1=1},{M15=1|M30=1|D1=1},"[5.7, 5.15, 7.74]",{M5=0-9|M15=0-9|M30=0-9|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-30|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3306.71,3315.37,3306.71,3309.73,2.82,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 12:15,M15,1.0,3.0,1.0,0.88,1.98,0.68,3302.94,3314.09,3291.78,3312.25,3312.25,3312.25,,,,,
~,BBTFImpact,[45201.0],{M15=1|M30=1|H4=1|D1=1},{M30=1|D1=1},"[6.42, 6.08, 8.67]",{M5=0-9|M15=0-9|M30=19-9|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=0-30|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=19-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3307.28,3315.37,3307.28,3312.34,2.5300000000000002,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 12:30,M15,1.0,3.0,1.0,0.6,-1.97,0.63,3303.4,3313.86,3292.95,3307.47,3307.47,3307.47,,,,,
~,M30,1.0,3.0,1.0,1.25,-4.55,0.91,3298.11,3313.14,3283.08,,,,,,,,
~,BBTFImpact,[45205.0],{M15=1|M30=1|H4=1|D1=1},{M30=1|D1=1},"[6.39, 5.29, 9.14]",{M5=0-9|M15=0-9|M30=0-19|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=20-30|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-20|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3307.28,3312.26,3307.28,3307.67,2.29,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 12:45,M15,5.0,3.0,1.0,0.43,-2.29,0.61,3303.8,3313.81,3293.78,3305.64,3305.64,3305.64,,,,,
~,BBTFImpact,['45246-S_31'],{M5=1|M15=1|M30=1|H4=1|D1=1},{M30=1|D1=1},"[6.04, 5.6899999999999995, 9.53]",{M5=6-9|M15=0-9|M30=0-19|H1=0-6|H4=0-6|D1=0-6|W1=0-18},{M5=20-10|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-20|W1=0-30},{M5=26-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,3307.28,3307.28,3301.9,3305.54,2.25,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.07.31 13:00,M15,5.0,3.0,1.0,0.45,-2.17,0.59,3304.34,3314.09,3294.58,3306.69,3306.69,3306.69,,,,,
~,M30,1.0,3.0,1.0,1.06,-4.52,0.86,3299.14,3313.35,3284.92,,,,,,,,
~,H1,3.0,2.0,2.0,-0.03,-0.49,1.3,3294.19,3315.59,3272.78,,,,,,,,
