datetime,category,BBTFImpact-Sideway_val/ATRSL1buf-Trend/ORDERINFO-BUY_PROFIT/TF-diffMid_Trend/NEW_ORDER_OPEN-TradeAct/NEW_ORDER_CLOSE-TradeAct,BBTFImpact-HTF_Drive_LTF_Sideway/ATRSL1buf-LV/ORDERINFO-BUY_LOTS/TF-BBUpDn/NEW_ORDER_OPEN-OPEN_TICKET/NEW_ORDER_CLOSE-OPEN_TICKET,BBTFImpact-LTF_Drive_HTF_Fly/ATRSL1buf-Upper/ORDERINFO-BUY_TICKET_NUM/TF-trend/NEW_ORDER_OPEN-OPEN_TYPE/NEW_ORDER_CLOSE-OPEN_Type,BBTFImpact-midline_Cluster/ATRSL1buf-Lower/ORDERINFO-BUYS/TF-diffMid/NEW_ORDER_OPEN-OPEN_LOTS/NEW_ORDER_CLOSE-OPEN_LOTS,BBTFImpact-line_seq_touch/ATRSL1buf-SLMid/ORDERINFO-SELL_PROFIT/TF-diffBBW/NEW_ORDER_OPEN-DEAL_PRICE/NEW_ORDER_CLOSE-OPEN_PRICE,BBTFImpact-line_seq_cross/ATRSL1buf-Val/ORDERINFO-SELL_LOTS/TF-WLV/NEW_ORDER_OPEN-FREEMARGIN/NEW_ORDER_CLOSE-OPEN_TIME,BBTFImpact-untouch_val/ORDERINFO-SELL_TICKET_NUM/TF-MidLV/NEW_ORDER_OPEN-MARGINREQUIRED/NEW_ORDER_CLOSE-CLOSED_TICKET,ORDERINFO-SELLS/TF-UppLV/NEW_ORDER_CLOSE-CLOSED_TYPE,ORDERINFO-TOTALORDERS/TF-LowLV/NEW_ORDER_CLOSE-CLOSED_LOT,TF-close/NEW_ORDER_CLOSE-CLOSED_PRICE,TF-high/NEW_ORDER_CLOSE-PROFIT,TF-low/NEW_ORDER_CLOSE-SWAP,NEW_ORDER_CLOSE-COMMISION,NEW_ORDER_CLOSE-FEE,NEW_ORDER_CLOSE-TOTAL_PROFIT,NEW_ORDER_CLOSE-TOTAL_SWAP,NEW_ORDER_CLOSE-LAST_PROFIT
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 02:30,M15,1.0,1.0,0.0,1.0,6.49,0.97,3298.55,3314.52,3282.59,3312.17,3312.17,3312.17,,,,,
~,M30,1.0,1.0,0.0,0.55,9.67,1.1400000000000001,3293.97,3312.7,3275.24,,,,,,,,
~,BBTFImpact,[62001.0],,{M30=1|H1=1},"[9.12, 4.58, 3.98]",{M5=0-9|M15=9-0|M30=9-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=0-30|M15=30-40|M30=30-40|H1=0-40|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3309.32,3316.83,3309.32,3312.04,2.4,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 02:45,M15,1.0,0.0,0.0,0.93,4.06,1.0,3299.46,3316.03,3282.89,3311.37,3311.37,3311.37,,,,,
~,BBTFImpact,[62005.0],,{M30=1|H1=1},"[10.13, 5.49, 4.89]",{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=0-30|M15=0-30|M30=0-30|H1=0-40|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3309.32,3315.48,3309.32,3311.15,2.17,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 03:00,M15,1.0,3.0,0.0,0.86,2.09,1.02,3300.3,3317.16,3283.45,3310.24,3310.24,3310.24,,,,,
~,M30,5.0,1.0,0.0,0.45,6.6,1.19,3294.38,3314.02,3274.73,,,,,,,,
~,H1,0.0,1.0,0.0,0.66,9.88,0.9,3295.23,3310.02,3280.43,,,,,,,,
~,BBTFImpact,[62404.0],,{M15=1|M30=1|H1=1},"[9.87, 5.93, 5.08]",{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=0-30|M15=0-30|M30=0-30|H1=0-40|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3309.32,3314.06,3309.32,3310.06,2.0,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 03:15,M15,1.0,3.0,0.0,0.98,3.35,1.07,3301.39,3319.08,3283.71,3313.22,3313.22,3313.22,,,,,
~,BBTFImpact,[62401.0],,{M30=1|H1=1},"[10.31, 7.02, 6.17]",{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=0-30|M15=0-30|M30=0-30|H1=0-40|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3309.97,3314.06,3309.97,3313.44,1.73,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 03:30,M15,1.0,3.0,0.0,0.94,2.27,1.09,3302.33,3320.39,3284.27,3312.98,3312.98,3312.98,,,,,
~,M30,1.0,0.0,0.0,1.29,7.67,1.29,3295.78,3317.07,3274.48,,,,,,,,
~,BBTFImpact,[62006.0],,{M30=1|H1=1},"[10.26, 6.55, 7.1]",{M5=18-9|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=0-30|M15=0-30|M30=0-30|H1=0-40|H4=0-30|D1=0-30|W1=0-30},{M5=18-28|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3309.97,3314.06,3309.97,3313.1,1.9300000000000002,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 03:45,M15,1.0,3.0,0.0,0.65,-1.4,1.05,3302.75,3320.15,3285.36,3307.43,3307.43,3307.43,,,,,
~,BBTFImpact,[62000.0],,{M15=1|M30=1|H1=1},"[8.8, 6.98, 7.53]",{M5=6-18|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=20-10|M15=0-30|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,3309.97,3309.97,3301.85,3306.87,2.56,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 04:00,M15,1.0,3.0,0.0,0.87,-0.72,1.05,3303.72,3321.14,3286.31,3311.36,3311.36,3311.36,,,,,
~,M30,1.0,3.0,0.0,1.6,-1.78,1.23,3297.14,3317.49,3276.8,,,,,,,,
~,H1,1.0,1.0,0.0,0.88,9.78,0.98,3296.05,3312.28,3279.83,,,,,,,,
~,BBTFImpact,[60004.0],{M5=1},{M15=1|M30=1|H1=1|H4=1},"[7.47, 6.58, 7.67]",{M5=0-6|M15=0-9|M30=0-9|H1=9-9|H4=0-0|D1=0-18|W1=0-0},{M5=30-20|M15=0-30|M30=0-30|H1=30-40|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3306.15,3316.4,3306.15,3311.69,2.77,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 04:15,M15,1.0,3.0,0.0,0.95,-1.77,1.04,3304.71,3321.9,3287.52,3312.35,3312.35,3312.35,,,,,
~,BBTFImpact,[60004.0],{M5=1|M15=1},{M15=1|M30=1|H1=1|H4=1},"[6.53, 7.5600000000000005, 8.65]",{M5=0-6|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=0-30|M15=0-30|M30=0-30|H1=0-40|H4=0-30|D1=0-30|W1=0-30},{M5=0-28|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3307.69,3316.4,3307.69,3312.49,2.7800000000000002,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 04:30,M15,1.0,3.0,0.0,0.78,-3.98,0.99,3305.41,3321.82,3289.0,3309.38,3309.38,3309.38,,,,,
~,M30,1.0,3.0,0.0,1.5,-6.5600000000000005,1.16,3298.62,3317.81,3279.42,,,,,,,,
~,BBTFImpact,[60004.0],{M5=1|M15=1},{M15=1|M30=1|H1=1|H4=1},"[5.53, 6.79, 9.36]",{M5=0-7|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=0-20|M15=0-30|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,3307.69,3315.05,3307.69,3309.19,2.93,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 04:45,M15,1.0,2.0,0.0,0.66,-5.76,0.93,3305.97,3321.36,3290.59,3306.48,3306.48,3306.48,,,,,
~,BBTFImpact,[60014.0],{M5=1|M15=1},{M15=1|H1=1|H4=1},"[4.25, 7.36, 9.92]",{M5=0-7|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-18|W1=0-0},{M5=0-20|M15=0-30|M30=0-30|H1=0-30|H4=0-30|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,1.0,3312.43,3312.43,3301.93,3306.5,2.9699999999999998,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2025.06.02 05:00,M15,5.0,2.0,0.0,0.47,-5.41,0.88,3306.33,3320.84,3291.82,3303.72,3303.72,3303.72,,,,,
~,M30,1.0,2.0,0.0,1.06,-8.38,1.06,3299.52,3317.03,3282.0,,,,,,,,
